step,time,rain_volume,eta_volume,max_eta,min_eta
412,41.20,0.000000,-nan(ind),inf,-inf
413,41.30,0.000000,-nan(ind),inf,-inf
414,41.40,0.000000,-nan(ind),inf,-inf
415,41.50,0.000000,-nan(ind),inf,-inf
416,41.60,0.000000,-nan(ind),inf,-inf
417,41.70,0.000000,-nan(ind),inf,-inf
418,41.80,0.000000,-nan(ind),inf,-inf
419,41.90,0.000000,-nan(ind),inf,-inf
420,42.00,0.000000,-nan(ind),inf,-inf
421,42.10,0.000000,-nan(ind),inf,-inf
422,42.20,0.000000,-nan(ind),inf,-inf
423,42.30,0.000000,-nan(ind),inf,-inf
424,42.40,0.000000,-nan(ind),inf,-inf
425,42.50,0.000000,-nan(ind),inf,-inf
426,42.60,0.000000,-nan(ind),inf,-inf
427,42.70,0.000000,-nan(ind),inf,-inf
428,42.80,0.000000,-nan(ind),inf,-inf
429,42.90,0.000000,-nan(ind),inf,-inf
430,43.00,0.000000,-nan(ind),inf,-inf
431,43.10,0.000000,-nan(ind),inf,-inf
432,43.20,0.000000,-nan(ind),inf,-inf
433,43.30,0.000000,-nan(ind),inf,-inf
434,43.40,0.000000,-nan(ind),inf,-inf
435,43.50,0.000000,-nan(ind),inf,-inf
436,43.60,0.000000,-nan(ind),inf,-inf
437,43.70,0.000000,-nan(ind),inf,-inf
438,43.80,0.000000,-nan(ind),inf,-inf
439,43.90,0.000000,-nan(ind),inf,-inf
440,44.00,0.000000,-nan(ind),inf,-inf
441,44.10,0.000000,-nan(ind),inf,-inf
442,44.20,0.000000,-nan(ind),inf,-inf
443,44.30,0.000000,-nan(ind),inf,-inf
444,44.40,0.000000,-nan(ind),inf,-inf
445,44.50,0.000000,-nan(ind),inf,-inf
446,44.60,0.000000,-nan(ind),inf,-inf
447,44.70,0.000000,-nan(ind),inf,-inf
448,44.80,0.000000,-nan(ind),inf,-inf
449,44.90,0.000000,-nan(ind),inf,-inf
450,45.00,0.000000,-nan(ind),inf,-inf
451,45.10,0.000000,-nan(ind),inf,-inf
452,45.20,0.000000,-nan(ind),inf,-inf
453,45.30,0.000000,-nan(ind),inf,-inf
454,45.40,0.000000,-nan(ind),inf,-inf
455,45.50,0.000000,-nan(ind),inf,-inf
456,45.60,0.000000,-nan(ind),inf,-inf
457,45.70,0.000000,-nan(ind),inf,-inf
458,45.80,0.000000,-nan(ind),inf,-inf
459,45.90,0.000000,-nan(ind),inf,-inf
460,46.00,0.000000,-nan(ind),inf,-inf
461,46.10,0.000000,-nan(ind),inf,-inf
462,46.20,0.000000,-nan(ind),inf,-inf
463,46.30,0.000000,-nan(ind),inf,-inf
464,46.40,0.000000,-nan(ind),inf,-inf
465,46.50,0.000000,-nan(ind),inf,-inf
466,46.60,0.000000,-nan(ind),inf,-inf
467,46.70,0.000000,-nan(ind),inf,-inf
468,46.80,0.000000,-nan(ind),inf,-inf
469,46.90,0.000000,-nan(ind),inf,-inf
470,47.00,0.000000,-nan(ind),inf,-inf
471,47.10,0.000000,-nan(ind),inf,-inf
472,47.20,0.000000,-nan(ind),inf,-inf
473,47.30,0.000000,-nan(ind),inf,-inf
474,47.40,0.000000,-nan(ind),inf,-inf
475,47.50,0.000000,-nan(ind),inf,-inf
476,47.60,0.000000,-nan(ind),inf,-inf
477,47.70,0.000000,-nan(ind),inf,-inf
478,47.80,0.000000,-nan(ind),inf,-inf
479,47.90,0.000000,-nan(ind),inf,-inf
480,48.00,0.000000,-nan(ind),inf,-inf
481,48.10,0.000000,-nan(ind),inf,-inf
482,48.20,0.000000,-nan(ind),inf,-inf
483,48.30,0.000000,-nan(ind),inf,-inf
484,48.40,0.000000,-nan(ind),inf,-inf
485,48.50,0.000000,-nan(ind),inf,-inf
486,48.60,0.000000,-nan(ind),inf,-inf
487,48.70,0.000000,-nan(ind),inf,-inf
488,48.80,0.000000,-nan(ind),inf,-inf
489,48.90,0.000000,-nan(ind),inf,-inf
490,49.00,0.000000,-nan(ind),inf,-inf
491,49.10,0.000000,-nan(ind),inf,-inf
492,49.20,0.000000,-nan(ind),inf,-inf
493,49.30,0.000000,-nan(ind),inf,-inf
494,49.40,0.000000,-nan(ind),inf,-inf
495,49.50,0.000000,-nan(ind),inf,-inf
496,49.60,0.000000,-nan(ind),inf,-inf
497,49.70,0.000000,-nan(ind),inf,-inf
498,49.80,0.000000,-nan(ind),inf,-inf
499,49.90,0.000000,-nan(ind),inf,-inf
500,50.00,0.000000,-nan(ind),inf,-inf
501,50.10,0.000000,-nan(ind),inf,-inf
502,50.20,0.000000,-nan(ind),inf,-inf
503,50.30,0.000000,-nan(ind),inf,-inf
504,50.40,0.000000,-nan(ind),inf,-inf
505,50.50,0.000000,-nan(ind),inf,-inf
506,50.60,0.000000,-nan(ind),inf,-inf
507,50.70,0.000000,-nan(ind),inf,-inf
508,50.80,0.000000,-nan(ind),inf,-inf
509,50.90,0.000000,-nan(ind),inf,-inf
510,51.00,0.000000,-nan(ind),inf,-inf
511,51.10,0.000000,-nan(ind),inf,-inf
512,51.20,0.000000,-nan(ind),inf,-inf
513,51.30,0.000000,-nan(ind),inf,-inf
514,51.40,0.000000,-nan(ind),inf,-inf
515,51.50,0.000000,-nan(ind),inf,-inf
516,51.60,0.000000,-nan(ind),inf,-inf
517,51.70,0.000000,-nan(ind),inf,-inf
518,51.80,0.000000,-nan(ind),inf,-inf
519,51.90,0.000000,-nan(ind),inf,-inf
520,52.00,0.000000,-nan(ind),inf,-inf
521,52.10,0.000000,-nan(ind),inf,-inf
522,52.20,0.000000,-nan(ind),inf,-inf
523,52.30,0.000000,-nan(ind),inf,-inf
524,52.40,0.000000,-nan(ind),inf,-inf
525,52.50,0.000000,-nan(ind),inf,-inf
526,52.60,0.000000,-nan(ind),inf,-inf
527,52.70,0.000000,-nan(ind),inf,-inf
528,52.80,0.000000,-nan(ind),inf,-inf
529,52.90,0.000000,-nan(ind),inf,-inf
530,53.00,0.000000,-nan(ind),inf,-inf
531,53.10,0.000000,-nan(ind),inf,-inf
532,53.20,0.000000,-nan(ind),inf,-inf
533,53.30,0.000000,-nan(ind),inf,-inf
534,53.40,0.000000,-nan(ind),inf,-inf
535,53.50,0.000000,-nan(ind),inf,-inf
536,53.60,0.000000,-nan(ind),inf,-inf
537,53.70,0.000000,-nan(ind),inf,-inf
538,53.80,0.000000,-nan(ind),inf,-inf
539,53.90,0.000000,-nan(ind),inf,-inf
540,54.00,0.000000,-nan(ind),inf,-inf
541,54.10,0.000000,-nan(ind),inf,-inf
542,54.20,0.000000,-nan(ind),inf,-inf
543,54.30,0.000000,-nan(ind),inf,-inf
544,54.40,0.000000,-nan(ind),inf,-inf
545,54.50,0.000000,-nan(ind),inf,-inf
546,54.60,0.000000,-nan(ind),inf,-inf
547,54.70,0.000000,-nan(ind),inf,-inf
548,54.80,0.000000,-nan(ind),inf,-inf
549,54.90,0.000000,-nan(ind),inf,-inf
550,55.00,0.000000,-nan(ind),inf,-inf
551,55.10,0.000000,-nan(ind),inf,-inf
